,Temp (deg F),Temp (deg C)
23-Jan-21,55.6,13.1243865
24-Jan-21,55.6,13.12201138
25-Jan-21,55.4,12.97336441
26-Jan-21,54.6,12.54143513
27-Jan-21,54.7,12.61908502
28-Jan-21,54.6,12.5648235
29-Jan-21,54.6,12.55846473
30-Jan-21,55.5,13.07938556
31-Jan-21,55.8,13.24112594
1-Feb-21,55.6,13.13579106
2-Feb-21,55.9,13.27145068
3-Feb-21,56,13.32570697
4-Feb-21,56.3,13.48499153
5-Feb-21,56.6,13.6820285
6-Feb-21,56.7,13.73634427
7-Feb-21,57.3,14.07611442
8-Feb-21,55.8,13.21495891
9-Feb-21,57.1,13.96001865
10-Feb-21,56.8,13.80243967
11-Feb-21,56.9,13.82517675
12-Feb-21,56.9,13.83785533
13-Feb-21,58,14.45139799
14-Feb-21,57.2,13.98523479
15-Feb-21,57.6,14.20273266
16-Feb-21,57.2,14.02168345
17-Feb-21,57.4,14.09775097
18-Feb-21,57.9,14.38439569
19-Feb-21,58.1,14.48117702
20-Feb-21,57.6,14.20190405
21-Feb-21,57.5,14.16611501
22-Feb-21,57.4,14.13071206
23-Feb-21,59.4,15.19466373
24-Feb-21,58.1,14.50527101
25-Feb-21,57.9,14.39565949
26-Feb-21,57.9,14.36404913
27-Feb-21,57.8,14.31219405
28-Feb-21,58.3,14.6096625
1-Mar-21,57.8,14.35130786
2-Mar-21,58.4,14.64757276
3-Mar-21,59,14.97887904
4-Mar-21,58.6,14.80370429
5-Mar-21,58.7,14.86106927
6-Mar-21,58.6,14.77682778
7-Mar-21,58.9,14.94485409
8-Mar-21,59.2,15.12096211
9-Mar-21,59,15.0099531
10-Mar-21,58.5,14.7266765
11-Mar-21,58.2,14.57165762
12-Mar-21,59.1,15.06781229
13-Mar-21,59.1,15.06672938
14-Mar-21,59.4,15.24959755
15-Mar-21,58.1,14.50238549
16-Mar-21,58.7,14.85938674
17-Mar-21,58.9,14.93088749
18-Mar-21,59.5,15.25999127
19-Mar-21,58.9,14.9550024
20-Mar-21,58.7,14.85877306
21-Mar-21,59.4,15.2255755
22-Mar-21,59.4,15.20969688
23-Mar-21,60.3,15.69662612
24-Mar-21,60.2,15.67509535
25-Mar-21,60.3,15.71502717
26-Mar-21,61.3,16.27210955
27-Mar-21,61.3,16.27487536
28-Mar-21,61.8,16.57325374
29-Mar-21,62.8,17.09355736
30-Mar-21,62.9,17.18323449
31-Mar-21,63.4,17.45195263
1-Apr-21,63.9,17.697785
2-Apr-21,65.1,18.41161519
3-Apr-21,64.1,17.83909695
4-Apr-21,64.7,18.17068475
5-Apr-21,64.8,18.20794657
6-Apr-21,64.7,18.19419069
7-Apr-21,65.1,18.40348192
8-Apr-21,65.2,18.42579564
9-Apr-21,65.2,18.42124205
10-Apr-21,65.8,18.78801302
11-Apr-21,67.6,19.75117052
12-Apr-21,67.5,19.73335715
13-Apr-21,67.2,19.52988142
14-Apr-21,66.8,19.31594616
15-Apr-21,67.1,19.51500949
16-Apr-21,67.4,19.68942359
17-Apr-21,68.6,20.33278481
18-Apr-21,69.4,20.76742495
19-Apr-21,69.2,20.64077967
20-Apr-21,68.9,20.50326032
21-Apr-21,70,21.10641823
22-Apr-21,68.8,20.46881301
23-Apr-21,68.7,20.38710689
24-Apr-21,68.7,20.38631223
25-Apr-21,68.3,20.19273823
26-Apr-21,67.6,19.80446561
27-Apr-21,68.1,20.06620664
28-Apr-21,69.5,20.81716154
29-Apr-21,70.2,21.20385986
30-Apr-21,69.3,20.74887657
1-May-21,69.7,20.95762913
2-May-21,70.5,21.38964304
3-May-21,71.8,22.11376618
4-May-21,72.7,22.5833575
5-May-21,72.8,22.65746632
6-May-21,72.3,22.41360451
7-May-21,72.5,22.52034373
8-May-21,73.2,22.87515609
9-May-21,74.3,23.52440032
10-May-21,74.9,23.81085324
11-May-21,74.6,23.66601272
12-May-21,74.7,23.73623685
13-May-21,74.5,23.61912834
14-May-21,74.3,23.49916518
15-May-21,74.2,23.46238856
16-May-21,74.4,23.54496499
17-May-21,74.3,23.51405356
18-May-21,74.6,23.686116
19-May-21,74.6,23.64063348
20-May-21,73.7,23.19306174
21-May-21,74,23.3245792
22-May-21,74.4,23.54744203
23-May-21,74.7,23.7341114
24-May-21,75.3,24.0426006
25-May-21,75.1,23.95105736
26-May-21,75.3,24.04774185
27-May-21,75.2,24.02184486
28-May-21,75.9,24.41063985
29-May-21,75.9,24.39500281
30-May-21,76.5,24.71293856
31-May-21,77.5,25.26213964
1-Jun-21,77.6,25.32499117
2-Jun-21,77.8,25.43281174
3-Jun-21,78,25.57100635
4-Jun-21,78.7,25.95969024
5-Jun-21,78.7,25.95330466
6-Jun-21,78.8,25.98759614
7-Jun-21,78,25.55565872
8-Jun-21,77.6,25.33392901
9-Jun-21,77.2,25.08478047
10-Jun-21,76.7,24.84994089
11-Jun-21,76.6,24.76277315
12-Jun-21,78.1,25.6106003
13-Jun-21,78.1,25.59276551
14-Jun-21,78.2,25.69242463
15-Jun-21,77.9,25.52053624
16-Jun-21,79.6,26.42508943
17-Jun-21,79.8,26.54982293
18-Jun-21,80.9,27.14824395
19-Jun-21,80.3,26.83410202
20-Jun-21,80.6,27.00834273
21-Jun-21,80.5,26.96906726
22-Jun-21,80.7,27.04028372
23-Jun-21,80.6,27.01781709
24-Jun-21,80.4,26.91342183
25-Jun-21,80.6,27.00947182
26-Jun-21,80.1,26.73583197
27-Jun-21,80.7,27.06184567
28-Jun-21,80.6,26.97387162
29-Jun-21,81.2,27.35516506
30-Jun-21,81.5,27.49357252
1-Jul-21,80.9,27.16224052
2-Jul-21,80.7,27.07187441
3-Jul-21,81,27.19571585
4-Jul-21,81.6,27.52961545
5-Jul-21,81.4,27.45742837
6-Jul-21,81.2,27.32078665
7-Jul-21,81.2,27.31956881
8-Jul-21,81.4,27.46462142
9-Jul-21,82.4,28.00144433
10-Jul-21,82.8,28.23762124
11-Jul-21,83.1,28.40345222
12-Jul-21,82,27.79736525
13-Jul-21,81.6,27.57528107
14-Jul-21,81.3,27.38930896
15-Jul-21,80.9,27.16102887
16-Jul-21,80.8,27.13211679
17-Jul-21,81.3,27.39052741
18-Jul-21,82.3,27.9598566
19-Jul-21,82.3,27.96654768
20-Jul-21,81.9,27.71023182
21-Jul-21,81.3,27.39767065
22-Jul-21,81.6,27.53402646
23-Jul-21,81.2,27.30966482
24-Jul-21,81.8,27.67956684
25-Jul-21,81.8,27.66272496
26-Jul-21,81.6,27.57415756
27-Jul-21,82,27.75862937
28-Jul-21,82.4,27.99185615
29-Jul-21,81.8,27.63977114
30-Jul-21,82,27.77243479
31-Jul-21,81.9,27.74150051
1-Aug-21,81.7,27.58492507
